"","race","height","weight","speed","strength","dexterity","constitution","intelligence","wisdom","charisma"
"1","dragonborn",74,247,30,14,15,12,7,13,16
"2","dragonborn",76,235,30,11,11,11,13,13,17
"3","dragonborn",77,252,30,14,16,11,13,10,18
"4","dragonborn",80,287,30,8,19,7,10,13,16
"5","dragonborn",80,287,30,8,17,14,14,10,9
"6","dragonborn",73,210,30,16,10,12,12,15,11
"7","dragonborn",81,280,30,9,14,12,16,14,17
"8","dragonborn",77,219,30,12,15,14,7,10,17
"9","dragonborn",82,271,30,12,18,14,12,10,15
"10","dragonborn",80,217,30,15,19,15,10,9,9
"11","dragonborn",73,196,30,14,9,11,14,11,16
"12","dragonborn",81,250,30,15,16,10,14,9,11
"13","dragonborn",69,181,30,14,16,15,14,14,13
"14","dragonborn",76,265,30,18,9,15,14,15,15
"15","dragonborn",70,191,30,17,14,13,12,9,18
"16","dragonborn",76,255,30,19,16,10,14,13,17
"17","dragonborn",71,215,30,12,13,17,10,11,13
"18","dragonborn",73,231,30,10,18,9,12,11,16
"19","dragonborn",81,325,30,13,19,16,12,12,9
"20","dragonborn",70,183,30,15,12,13,12,9,5
"21","dragonborn",68,197,30,18,16,14,8,7,12
"22","dragonborn",78,271,30,14,10,14,6,14,10
"23","dragonborn",76,255,30,14,11,13,9,15,16
"24","dragonborn",76,285,30,15,11,11,7,13,17
"25","dragonborn",74,239,30,16,8,15,17,15,14
"26","dragonborn",76,215,30,16,17,13,14,15,11
"27","dragonborn",80,231,30,12,17,16,8,7,14
"28","dragonborn",80,273,30,11,13,10,9,5,14
"29","dragonborn",71,220,30,17,17,7,12,13,12
"30","dragonborn",72,217,30,16,11,12,16,14,10
"31","dragonborn",80,259,30,16,13,10,9,16,14
"32","dragonborn",74,231,30,13,14,7,16,15,14
"33","dragonborn",72,241,30,13,15,14,9,13,18
"34","dragonborn",79,279,30,17,16,16,11,11,13
"35","dragonborn",80,273,30,18,15,11,12,14,14
"36","dragonborn",81,250,30,15,13,11,15,10,14
"37","dragonborn",73,224,30,20,12,10,11,11,15
"38","dragonborn",79,331,30,14,19,13,11,9,10
"39","dragonborn",75,256,30,18,16,16,10,15,14
"40","dragonborn",70,187,30,10,15,14,9,14,13
"41","dragonborn",78,259,30,17,14,13,14,11,11
"42","dragonborn",76,235,30,15,11,8,10,11,18
"43","dragonborn",76,285,30,14,12,15,12,13,14
"44","dragonborn",78,271,30,10,14,14,13,9,8
"45","dragonborn",74,239,30,14,12,11,11,13,14
"46","dragonborn",73,196,30,12,15,8,10,15,17
"47","dragonborn",71,220,30,12,11,11,15,13,18
"48","dragonborn",78,259,30,18,14,14,11,8,14
"49","dragonborn",75,265,30,12,17,15,14,16,15
"50","dragonborn",71,210,30,19,11,15,10,8,7
"51","dragonborn",69,208,30,12,9,8,16,13,14
